Animal,Experiment,Box,phase,subphase,subsubphase,component,freezing,motion
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,cs,,cs_2,96.56,0.37
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,cs,,cs_3,65.89,44.17
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,postcs,,postcs_1,37.24,60.29
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,postcs,,postcs_2,53.03,51.11
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,postcs,,postcs_3,69.24,18.16
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,shock,,shock_1,0,22.7
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,shock,,shock_2,100,0
4,201216_SEFL20_Atonetest_g1,1,A_tonetest,shock,,shock_3,78.33,1
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,bl,,bl,27.47,65.81
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,cs,,cs_1,84.22,7.64
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,cs,,cs_2,70.89,55.54
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,cs,,cs_3,79,5.88
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,postcs,,postcs_1,30.32,63.01
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,postcs,,postcs_2,49.79,21.52
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,postcs,,postcs_3,46.8,37.9
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,shock,,shock_1,100,0
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,shock,,shock_2,0,8.15
5,201216_SEFL20_Atonetest_g1,2,A_tonetest,shock,,shock_3,91.67,4.8
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,bl,,bl,6.28,150.87
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,cs,,cs_1,87.22,14.74
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,cs,,cs_2,54.89,76.21
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,cs,,cs_3,72.33,93.29
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,postcs,,postcs_1,31.77,83.41
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,postcs,,postcs_2,37,103.2
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,postcs,,postcs_3,37.3,95.35
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,shock,,shock_1,100,0.6
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,shock,,shock_2,0,20.08
6,201216_SEFL20_Atonetest_g3,3,A_tonetest,shock,,shock_3,100,0.07
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,bl,,bl,30.18,38.24
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,cs,,cs_1,50.89,47.76
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,cs,,cs_2,73.33,21.01
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,cs,,cs_3,66.56,21.42
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,postcs,,postcs_1,22.2,98.35
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,postcs,,postcs_2,22.42,106.56
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,postcs,,postcs_3,19.67,107.19
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,shock,,shock_1,0,73.6
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,shock,,shock_2,100,0.13
8,201216_SEFL20_Atonetest_g3,4,A_tonetest,shock,,shock_3,55,24.72
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,bl,,bl,26.29,77.61
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,cs,,cs_1,89.33,37.78
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,cs,,cs_2,64.56,66.71
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,cs,,cs_3,91.33,4.46
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,postcs,,postcs_1,37.99,68.34
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,postcs,,postcs_2,41.01,51.51
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,postcs,,postcs_3,53.69,27.66
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,shock,,shock_1,100,0
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,shock,,shock_2,68.33,15.55
14,201216_SEFL20_Atonetest_g4,1,A_tonetest,shock,,shock_3,70,7.8
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,bl,,bl,9.01,177.39
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,cs,,cs_1,44.11,57.46
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,cs,,cs_2,16.78,139.03
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,cs,,cs_3,56.44,32.35
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,postcs,,postcs_1,29.47,86.78
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,postcs,,postcs_2,9.66,137.22
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,postcs,,postcs_3,15.83,96.12
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,shock,,shock_1,0,100.72
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,shock,,shock_2,60,1.65
15,201216_SEFL20_Atonetest_g4,2,A_tonetest,shock,,shock_3,61.67,26.27
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,bl,,bl,7.8,97.53
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,cs,,cs_1,32,91.79
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,cs,,cs_2,64.11,24.39
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,cs,,cs_3,53.11,38.8
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,postcs,,postcs_1,13.79,103.87
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,postcs,,postcs_2,18.73,92.27
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,postcs,,postcs_3,14.04,105.73
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,shock,,shock_1,0,163.53
