Region,Cell,HM4D,SpikeT_ms_chunked,SpikeT_sec_chunked,RecordChunk,SpikeT_sec
vCA1,231101_cell2,pos,826088.375,826.088375,0,826.088375
vCA1,231101_cell2,pos,829055.875,829.055875,0,829.055875
vCA1,231101_cell2,pos,830559.3125,830.5593125,0,830.5593125
vCA1,231101_cell2,pos,837115,837.115,0,837.115
vCA1,231101_cell2,pos,841885.625,841.885625,0,841.885625
vCA1,231101_cell2,pos,844920.3125,844.9203125,0,844.9203125
vCA1,231101_cell2,pos,854268.875,854.268875,0,854.268875
vCA1,231101_cell2,pos,854483.3125,854.4833125,0,854.4833125
vCA1,231101_cell2,pos,859108.125,859.108125,0,859.108125
vCA1,231101_cell2,pos,859313.6875,859.3136875,0,859.3136875
vCA1,231101_cell2,pos,863133.8125,863.1338125,0,863.1338125
vCA1,231101_cell2,pos,863320.6875,863.3206875,0,863.3206875
vCA1,231101_cell2,pos,868540.375,868.540375,0,868.540375
vCA1,231101_cell2,pos,870378.375,870.378375,0,870.378375
vCA1,231101_cell2,pos,874010.1875,874.0101875,0,874.0101875
vCA1,231101_cell2,pos,876298.5,876.2985,0,876.2985
vCA1,231101_cell2,pos,879682.8125,879.6828125,0,879.6828125
vCA1,231101_cell2,pos,880691.375,880.691375,0,880.691375
vCA1,231101_cell2,pos,884000.1875,884.0001875,0,884.0001875
vCA1,231101_cell2,pos,890192.5,890.1925,0,890.1925
vCA1,231101_cell2,pos,894168.375,894.168375,0,894.168375
vCA1,231101_cell2,pos,898934.1875,898.9341875,0,898.9341875
vCA1,231101_cell2,pos,900581.3125,900.5813125,0,900.5813125
vCA1,231101_cell2,pos,901997.875,901.997875,0,901.997875
vCA1,231101_cell2,pos,905926.1875,905.9261875,0,905.9261875
vCA1,231101_cell2,pos,914448.625,914.448625,0,914.448625
vCA1,231101_cell2,pos,917111.5,917.1115,0,917.1115
vCA1,231101_cell2,pos,919602.125,919.602125,0,919.602125
vCA1,231101_cell2,pos,922818.375,922.818375,0,922.818375
vCA1,231101_cell2,pos,924539,924.539,0,924.539
vCA1,231101_cell2,pos,925982,925.982,0,925.982
vCA1,231101_cell2,pos,929298.1875,929.2981875,0,929.2981875
vCA1,231101_cell2,pos,933204.875,933.204875,0,933.204875
vCA1,231101_cell2,pos,933610.6875,933.6106875,0,933.6106875
vCA1,231101_cell2,pos,933861.8125,933.8618125,0,933.8618125
vCA1,231101_cell2,pos,938575.6875,938.5756875,0,938.5756875
vCA1,231101_cell2,pos,948725.3125,948.7253125,0,948.7253125
vCA1,231101_cell2,pos,948780.1875,948.7801875,0,948.7801875
vCA1,231101_cell2,pos,949564,949.564,0,949.564
vCA1,231101_cell2,pos,953679,953.679,0,953.679
vCA1,231101_cell2,pos,954563.8125,954.5638125,0,954.5638125
vCA1,231101_cell2,pos,958069.625,958.069625,0,958.069625
vCA1,231101_cell2,pos,958072.875,958.072875,0,958.072875
vCA1,231101_cell2,pos,963781.5,963.7815,0,963.7815
vCA1,231101_cell2,pos,966337.3125,966.3373125,0,966.3373125
vCA1,231101_cell2,pos,968861.6875,968.8616875,0,968.8616875
vCA1,231101_cell2,pos,968977.8125,968.9778125,0,968.9778125
vCA1,231101_cell2,pos,974164.625,974.164625,0,974.164625
vCA1,231101_cell2,pos,975916.5,975.9165,0,975.9165
vCA1,231101_cell2,pos,982874.3125,982.8743125,0,982.8743125
vCA1,231101_cell2,pos,982993.3125,982.9933125,0,982.9933125
vCA1,231101_cell2,pos,989027.1875,989.0271875,0,989.0271875
vCA1,231101_cell2,pos,989399.8125,989.3998125,0,989.3998125
vCA1,231101_cell2,pos,991700.1875,991.7001875,0,991.7001875
vCA1,231101_cell2,pos,993816.375,993.816375,0,993.816375
vCA1,231101_cell2,pos,998582.8125,998.5828125,0,998.5828125
vCA1,231101_cell2,pos,1003087.875,1003.087875,0,1003.087875
vCA1,231101_cell2,pos,1003946.625,1003.946625,0,1003.946625
vCA1,231101_cell2,pos,1006415,1006.415,0,1006.415
vCA1,231101_cell2,pos,1007313.5,1007.3135,0,1007.3135
vCA1,231101_cell2,pos,1008295,1008.295,0,1008.295
vCA1,231101_cell2,pos,1008430.688,1008.430688,0,1008.430688
vCA1,231101_cell2,pos,1013557,1013.557,0,1013.557
vCA1,231101_cell2,pos,1015126,1015.126,0,1015.126
vCA1,231101_cell2,pos,1017788.188,1017.788188,0,1017.788188
vCA1,231101_cell2,pos,1021315.188,1021.315188,0,1021.315188
vCA1,231101_cell2,pos,1023225.5,1023.2255,0,1023.2255
vCA1,231101_cell2,pos,1024913.875,1024.913875,0,1024.913875
vCA1,231101_cell2,pos,1029146.5,1029.1465,0,1029.1465
vCA1,231101_cell2,pos,1032741.875,1032.741875,0,1032.741875
vCA1,231101_cell2,pos,1036203,1036.203,0,1036.203
vCA1,231101_cell2,pos,1038230.125,1038.230125,0,1038.230125
vCA1,231101_cell2,pos,1043010.688,1043.010688,0,1043.010688
vCA1,231101_cell2,pos,1045429.688,1045.429688,0,1045.429688
vCA1,231101_cell2,pos,1047998.188,1047.998188,0,1047.998188
vCA1,231101_cell2,pos,1049428.125,1049.428125,0,1049.428125
vCA1,231101_cell2,pos,1052966.125,1052.966125,0,1052.966125
vCA1,231101_cell2,pos,1057365.125,1057.365125,0,1057.365125
vCA1,231101_cell2,pos,1060170.125,1060.170125,0,1060.170125
vCA1,231101_cell2,pos,1062451.75,1062.45175,0,1062.45175
vCA1,231101_cell2,pos,1063511.125,1063.511125,0,1063.511125
vCA1,231101_cell2,pos,1065760.375,1065.760375,0,1065.760375
vCA1,231101_cell2,pos,1070700.125,1070.700125,0,1070.700125
vCA1,231101_cell2,pos,1076160.625,1076.160625,0,1076.160625
vCA1,231101_cell2,pos,1077769.25,1077.76925,0,1077.76925
vCA1,231101_cell2,pos,1083112.875,1083.112875,0,1083.112875
vCA1,231101_cell2,pos,1087757.875,1087.757875,0,1087.757875
vCA1,231101_cell2,pos,1089040.375,1089.040375,0,1089.040375
vCA1,231101_cell2,pos,1092304.125,1092.304125,0,1092.304125
vCA1,231101_cell2,pos,1099557.625,1099.557625,0,1099.557625
vCA1,231101_cell2,pos,1101695.625,1101.695625,0,1101.695625
vCA1,231101_cell2,pos,1105972.75,1105.97275,0,1105.97275
vCA1,231101_cell2,pos,1106922.625,1106.922625,0,1106.922625
vCA1,231101_cell2,pos,1107973.125,1107.973125,0,1107.973125
vCA1,231101_cell2,pos,1116864.25,1116.86425,0,1116.86425
vCA1,231101_cell2,pos,1118968.75,1118.96875,0,1118.96875
vCA1,231101_cell2,pos,1122082.125,1122.082125,0,1122.082125
vCA1,231101_cell2,pos,1123663.625,1123.663625,0,1123.663625
vCA1,231101_cell2,pos,1129712.625,1129.712625,0,1129.712625
vCA1,231101_cell2,pos,1135250.875,1135.250875,0,1135.250875
vCA1,231101_cell2,pos,1136071.125,1136.071125,0,1136.071125
vCA1,231101_cell2,pos,1137726.5,1137.7265,0,1137.7265
vCA1,231101_cell2,pos,1141919.75,1141.91975,0,1141.91975
vCA1,231101_cell2,pos,1142862.875,1142.862875,0,1142.862875
vCA1,231101_cell2,pos,1147657.875,1147.657875,0,1147.657875
vCA1,231101_cell2,pos,1152822,1152.822,0,1152.822
vCA1,231101_cell2,pos,1157169.125,1157.169125,0,1157.169125
vCA1,231101_cell2,pos,1162136.25,1162.13625,0,1162.13625
vCA1,231101_cell2,pos,1167319.75,1167.31975,0,1167.31975
vCA1,231101_cell2,pos,1173768.25,1173.76825,0,1173.76825
vCA1,231101_cell2,pos,1175832.375,1175.832375,0,1175.832375
vCA1,231101_cell2,pos,1176766.125,1176.766125,0,1176.766125
